sentence,response_time,predicted_stress,true_stress
it's always frustrating when people who make more money than you talk about how poor they are.,2.051435947418213,high_stress,moderate_stress
"yeah,she's dating me,but I don't know if it's a decision she regrets sometimes because of the downfalls that come along with it.",2.0407779216766357,moderate_stress,moderate_stress
Then she complaints of having pain on her shoulder and all.,2.047020435333252,high_stress,moderate_stress
I don't feel like I'm making any progress.,2.05145001411438,moderate_stress,moderate_stress
money problem is big problem,2.0554585456848145,high_stress,moderate_stress
Then my mum started complaining about feeling sick.,2.0513389110565186,high_stress,moderate_stress
"have been trying to clean and organize my closet, what a mess!",2.0561749935150146,moderate_stress,moderate_stress
i've been dealing with my husband who is an alcoholic.,2.0480663776397705,moderate_stress,moderate_stress
i am trying to write my thesis,2.038646697998047,moderate_stress,moderate_stress
Something about the repetitive nature of my job leaves me severely lacking in brain capacity by the end of the day.,2.034827947616577,high_stress,moderate_stress
"i'm frustrated, and everyday it seems like there's more stuff added to the long list of things that make my job more difficult.",2.0464916229248047,high_stress,moderate_stress
This crackwhores husband is STILL bitching about the cigarette roller.,2.052781105041504,moderate_stress,moderate_stress
hi. recently i have been stressing about a situation involving my child.,2.0421719551086426,moderate_stress,moderate_stress
"omg this shit sucks, my brain is ready to explode.",2.0557503700256348,high_stress,moderate_stress
for some reason i did and now im just lonely and depressed and missing him more than i ever thought i would.,2.043544054031372,high_stress,moderate_stress
So I was supposed to use this weekend to study for the exam I have to retake.,2.0495283603668213,moderate_stress,low_stress
they're so tiring. its so hard getting back into the whole school routine.,2.03974986076355,moderate_stress,moderate_stress
"And now, if you'll excuse me, I need to go make an appointment to get my back checked out, because it's still in pain.",2.039006471633911,moderate_stress,moderate_stress
"I mean, it sucked while I was stressed, thinking I'd never get it done on time.",2.053234338760376,high_stress,moderate_stress
i need to get good grades,2.05430269241333,moderate_stress,moderate_stress
waiting on hip replacement surgery for a year has really stressed me out,2.050520420074463,moderate_stress,high_stress
Kira was sick and dying today so she couldnt make it.,2.0405569076538086,high_stress,high_stress
I'm in pain almost every day of the week!,2.0402557849884033,high_stress,moderate_stress
I have a presentation this week that I'm afraid to look over for fear of realizing how under-prepared I am.,2.0195932388305664,moderate_stress,moderate_stress
it still bothers me...... I've just had a frustrating day.,2.0560410022735596,high_stress,moderate_stress
"oh man, my mom and my brother are screaming at eachother and its driving me insane.",2.0530927181243896,high_stress,moderate_stress
Everything is stressed in my life right now.,2.048492431640625,moderate_stress,moderate_stress
"It's been nearly four months since Castiel let Dean use his body, still shaking from his encounter with famine and Sam's screams as he detoxed.",2.048945903778076,high_stress,moderate_stress
She has some kind of health issue and I don't know what it is.,2.0513241291046143,low_stress,moderate_stress
i dont know how long to boil potatoes for,2.037867784500122,moderate_stress,low_stress
another thing that i'm really worried abuot that i shouldn't even be thinking right now is about how my family in general is going to do.,2.049396514892578,moderate_stress,moderate_stress
I think its just so much stress and like AHHH that im going crazy.,2.0484824180603027,moderate_stress,moderate_stress
"Stressed out, and can't sleep.",2.047534465789795,moderate_stress,moderate_stress
the recent things that have been stressing me out is my health and the health of my fami,2.0524754524230957,moderate_stress,moderate_stress
I may have broken my foot.,2.0512478351593018,moderate_stress,moderate_stress
there are a lot of projects at work weighing on me,2.053953170776367,moderate_stress,moderate_stress
my son is failing science class,2.0297086238861084,high_stress,moderate_stress
a recent situation that has been stressful to me is with my work.,2.0437707901000977,high_stress,moderate_stress
i''m super stressed about money,2.047741413116455,moderate_stress,moderate_stress
I have problem at work,2.0541269779205322,moderate_stress,moderate_stress
i've gotten really behind on keeping dishes washed.,2.042288064956665,moderate_stress,low_stress
worrying about my ddaughter getting into school,2.0492560863494873,moderate_stress,moderate_stress
And i know that this is a regular problem for just about everyone.,2.0478920936584473,moderate_stress,low_stress
whether or not i put enough money in savings.,2.0493247509002686,moderate_stress,moderate_stress
My focus and concentration at work has just sucked lately.,2.0495827198028564,moderate_stress,low_stress
Stress is happening and that isn't good.,2.0548481941223145,high_stress,moderate_stress
I'm getting stressed out at work...,2.0551199913024902,moderate_stress,moderate_stress
i don't let stress get to me.,2.050194263458252,moderate_stress,low_stress
I am so worried about getting work done at work and I have all this other stuff that is.,2.048820972442627,moderate_stress,moderate_stress
Heartbreak makes it really really difficult to do schoolwork.,2.0474703311920166,high_stress,moderate_stress
"i am currently stressed about the holidays coming up, and making sure everyone is happy.",2.0498499870300293,low_stress,moderate_stress
Dealing with my Lupus flares,2.058145761489868,moderate_stress,moderate_stress
it is stressful now a days i am going through the test reading all the time,2.050124406814575,high_stress,moderate_stress
"Then, I got a call that my friend Lou had lost his father to cancer.",2.0545711517333984,high_stress,moderate_stress
The economy has been stressing me out lately.,2.0358660221099854,moderate_stress,moderate_stress
"finding the time is just not easy, as i'm procrastinating on homework right now as it is.",2.0491323471069336,moderate_stress,moderate_stress
My biggest source of ire is just struggling to remember things.,2.051436185836792,moderate_stress,low_stress
i am concerned about my success in this life. it's needed for us all.,2.050367832183838,low_stress,moderate_stress
"My ass hurts, my arms hurt, and I have yet, another headache.",2.036142349243164,high_stress,moderate_stress
"In the meantime it's all been STRESS STRESS STRESS! Both due to the long trip, and yet MORE health problems with my grandma.",2.039057493209839,high_stress,moderate_stress
my mom is pissing me off.,2.0448856353759766,moderate_stress,moderate_stress
I have an exam tomorrow and I haven't studied.,2.0357840061187744,moderate_stress,moderate_stress
how is your heath cotion no,2.0530214309692383,moderate_stress,low_stress
if you need someone to talk to i am here for you.,2.0455527305603027,moderate_stress,low_stress
the thought of food made me feel sick. lately,2.0519936084747314,high_stress,moderate_stress
"I wont be here, and I wont hear the noise.",2.0460190773010254,moderate_stress,low_stress
Now I need to start studying for my finals.,2.0365304946899414,moderate_stress,low_stress
"Your Actual Problem Anxiety and restless dissatisfaction, either with circumstances or with unfulfilled emotional requirements, have produced tension and stress.",2.0441370010375977,high_stress,moderate_stress
i threw my husband that birthday party for a bunch of people.,2.0487959384918213,moderate_stress,low_stress
"During the past few weeks his condition has worsened immensely, and he has spent several weeks in the hospital.",2.052544116973877,moderate_stress,moderate_stress
Saddest Memory? seeing my grandmother crying when my great grandma passed away Most Embarassing Memory?,2.0409741401672363,high_stress,moderate_stress
"Lately, I haven't been feeling good and have not been in the best of moods.",2.0507748126983643,high_stress,moderate_stress
i'm stressed about being able to graduate and find a job,2.0483615398406982,moderate_stress,moderate_stress
i'm stressed out thinking about work.,2.055701732635498,moderate_stress,moderate_stress
hey! work has been stressing me out,2.0331246852874756,moderate_stress,moderate_stress
"right after work, I got all upset again.",2.0483062267303467,moderate_stress,low_stress
"it sucks because i'm pretty much busy all the time from now on, argh.",2.0481607913970947,moderate_stress,moderate_stress
My body aches from lack of sleep and shitty bed.,2.041156053543091,high_stress,moderate_stress
James I guess is trying to be a good friend but not doing a good job and is saying I will find from Gera but she isn't on.,2.0490806102752686,low_stress,low_stress
"it seems like this year is goin by so slow, and i have a shit job, so that doesnt help.",2.0543384552001953,high_stress,moderate_stress
I seem discontent with my life as a whole lately.,2.0505192279815674,moderate_stress,moderate_stress
no one qualifying to give me a kidney,2.046450138092041,moderate_stress,high_stress
it stresses me out that i am the only person who works around here ever,2.0506105422973633,moderate_stress,moderate_stress
"My classes are messed up entirely, and I'm not sure what is going to happen with my classes or me.",2.0517404079437256,moderate_stress,moderate_stress
I am just soooooo worried about school.,2.0470781326293945,moderate_stress,moderate_stress
man am i spent they are craking the wip at work,2.0342423915863037,moderate_stress,moderate_stress
the other day i messed something up at work and it sucked,2.053464889526367,high_stress,moderate_stress
His health isn't so great.,2.051018714904785,high_stress,moderate_stress
Buddy the dog is sick.,2.054015874862671,high_stress,moderate_stress
"Right now, I'm just so stressed about preparations and nervous about how things will be when I get there.",2.044224977493286,high_stress,moderate_stress
there is a coworker who is behaving rudely towards me at work.,2.0417845249176025,moderate_stress,moderate_stress
who is tghis? i know no one who speaks this way?,2.038161516189575,moderate_stress,low_stress
i always find myself having to limit myself at times from doing so. and,2.050267457962036,moderate_stress,low_stress
"I already knew I had a hard time making good food choices when I'm lonely or depressed, like skipping meals or eating too much at one meal.",2.05088472366333,moderate_stress,moderate_stress
ive been sick this whole week.,2.0552220344543457,high_stress,moderate_stress
Does the thought of marriage scare you?,2.054593563079834,moderate_stress,low_stress
Recently I have been super stressed that I'm losing someone who is very special,2.04608416557312,moderate_stress,high_stress
my back muscles now ache from the overuse.,2.0593950748443604,moderate_stress,moderate_stress
My mom is REALLY annoying me.,2.0496132373809814,high_stress,moderate_stress
I think I'm gaining weight tho.,2.0539886951446533,moderate_stress,moderate_stress
my job and not taking a vacation and being lonely,2.0508477687835693,moderate_stress,moderate_stress
School has been really hard on all of us this year and the stress was starting to get to me.,2.04999041557312,high_stress,moderate_stress
I have a college orientation Wednesday and Thursday down at Kutztown.,2.0498173236846924,moderate_stress,low_stress
my diet/fasting is stressing me at the moment.,2.0463504791259766,moderate_stress,moderate_stress
"Not as much as my best friend was, and It pains me to say that.",2.0519397258758545,low_stress,moderate_stress
I have a paper to write this weekend.,2.0367724895477295,moderate_stress,moderate_stress
I lost money on Tesla today.,2.053443431854248,moderate_stress,moderate_stress
It's noisy and my neighbours are obnoxious.,2.052266836166382,high_stress,moderate_stress
ughh things are just always so shitty and i want them to be better.,2.0416622161865234,moderate_stress,moderate_stress
totally mood off . make a plan to relax and lets relax together,2.045510768890381,low_stress,low_stress
"I am too keyed up an distractable, all the time, terrified about everything I haven't done that I should do.",2.038498878479004,high_stress,moderate_stress
i'm stressed about my new job. expectations are higher and i'm playing catch up.,2.047891855239868,moderate_stress,moderate_stress
My mom's in VA seeing my Aunt Lisa who is pretty sick.,2.045722723007202,moderate_stress,moderate_stress
well uhm....prolly be broken up with cause its so hard for me to do it.,2.0398523807525635,moderate_stress,moderate_stress
I need to release a lot of anger.,2.0474698543548584,high_stress,moderate_stress
i had a test which went really bad in a class that i don't have a very good grade in right now.,2.056288242340088,high_stress,moderate_stress
oh my goodness where do i start? my teenagers have been stressing me out to the max,2.055187463760376,moderate_stress,moderate_stress
"This stress puts stress on my relationship with other people, and I really hate it.",2.0371170043945312,high_stress,moderate_stress
Their schedules lately had made it hard for them to get even this small amount of time together.,2.0382230281829834,moderate_stress,moderate_stress
My husband's new job doesn't have benefits and I need health insurance,2.049745798110962,moderate_stress,moderate_stress
i've been really stressed about money and finances lately.,2.0485246181488037,moderate_stress,moderate_stress
I would use the letter listed on the bottom and type out the information to them.,2.0531227588653564,moderate_stress,low_stress
I just ran in to an interesting arguments about what's going on in Iraq How things seem so out of control.,2.0525708198547363,moderate_stress,low_stress
"My daddy didn't love us and left, so she had to work.",2.050680160522461,high_stress,moderate_stress
I'm attending a dinner party tomorrow night and I'm completely stumped for what to give as a gift to the hostess.,2.052307367324829,low_stress,low_stress
I am SO sick of this past year for some reason.,2.04878568649292,high_stress,moderate_stress
school is angering me lately.,2.050816774368286,moderate_stress,moderate_stress
Today has been very taxing for me.,2.036236047744751,moderate_stress,moderate_stress
i have been stressed for class work and work,2.049194812774658,moderate_stress,moderate_stress
This puts me two full weeks behind already and is a bit stressful.,2.0505592823028564,high_stress,moderate_stress
I just have horrible relationships with people lately.,2.047987461090088,high_stress,moderate_stress
It comes as no surprise that attendees will have a difficult decision to make every day.,2.0433499813079834,moderate_stress,moderate_stress
"They have no holiday pay, 401k plans, medical, dental or anything.",2.050053834915161,moderate_stress,moderate_stress
then school is stressful.,2.0559606552124023,high_stress,moderate_stress
oh my gosh! i have been drowning in school work.,2.043522834777832,moderate_stress,moderate_stress
One of the things I was most worried about was losing friends,2.0406007766723633,moderate_stress,moderate_stress
maybe it was because i am still in lots of pain and couldn't get comfortable.,2.050269842147827,high_stress,moderate_stress
"i dont even know how i paid it, because i had no money. and funny thing.",2.0364632606506348,moderate_stress,low_stress
I told him about the therapist visits and that I was still totally stressed about work.,2.0474255084991455,moderate_stress,moderate_stress
what hasn't? mostly a sick pet though. it hurts to see his pain.,2.0469727516174316,high_stress,moderate_stress
The amount my investments have fallen.,2.054023504257202,moderate_stress,moderate_stress
All this stress is wracking my brain and I don't know what to do.,2.0289855003356934,moderate_stress,moderate_stress
I've taken up the difficult and tedious task of cleaning my room.,2.040696144104004,moderate_stress,low_stress
I've been feeling so overwhelmed and insecure lately that I wonder whether it isn't better to just start over.,2.0387721061706543,high_stress,moderate_stress
school was school..frustrating as usual.,2.0418708324432373,moderate_stress,moderate_stress
my baby has not been sleeping.,2.0442352294921875,moderate_stress,moderate_stress
Work has been so exhausting for me lately.,2.0505480766296387,moderate_stress,moderate_stress
My fiancee is packing up his stuff to move out of the dorms.,2.039130210876465,moderate_stress,low_stress
I'm so confused about what to do lately I hate being so stressed out and run down.,2.0565896034240723,high_stress,moderate_stress
"Is that allowed? I'm going to need all the hours just to get it to stick together properly, I can see that already.",2.0532586574554443,moderate_stress,low_stress
recently our money situation is stressing us out. i feel we should downsize.,2.0428693294525146,moderate_stress,moderate_stress
work has been really exhausting lately.,2.0357818603515625,moderate_stress,moderate_stress
"man i just realized since he cant be out past 8 that means he cant be at my grandmas with me on christmas, that BLOWS ASS.",2.0494048595428467,high_stress,low_stress
"Alrighty, so I'm a hypochondriac and I've recently been very very scared for my health.",2.0353527069091797,moderate_stress,moderate_stress
i'm having trouble finding a place big enough for all of us.,2.0398261547088623,moderate_stress,moderate_stress
i feel very stressed i faced many problem i do't know how to handle it please help me de,2.053313732147217,moderate_stress,moderate_stress
"went to grocery for tgiving meal, and totally forgot turkey",2.034947633743286,moderate_stress,low_stress
remember to take your time to process the situation. perhaps it's not as bad as it seems,2.053112745285034,high_stress,low_stress
ta going to jail,2.0503251552581787,moderate_stress,moderate_stress
"all this happens while I'm in school, which makes learning quite difficult.",2.0465025901794434,moderate_stress,moderate_stress
It's sad when they've run out of Christmas movies to show on TV a week before the big day.,2.0502097606658936,moderate_stress,low_stress
"i have very little money in my account, i can't make ends meet.",2.051736354827881,moderate_stress,moderate_stress
"I've been very busy lately? I dunno, I just didn't feel like typing...",2.0442917346954346,moderate_stress,low_stress
"ugh.  it's so slow at work, so i'm not making much money.",2.0480587482452393,moderate_stress,moderate_stress
my homework is getting turned in as incomplete a lot now. some of my recent test scores really suck. and my grades are suffering. not to mention,2.053218126296997,high_stress,moderate_stress
i think my sleeping habits are wretched.,2.0530567169189453,moderate_stress,moderate_stress
"I mean, I registered with the DSS and they planned out every hour of my weekend this past week, and it just doesn't work.",2.054703712463379,moderate_stress,moderate_stress
Friends don't let friends date each other.,2.0507264137268066,low_stress,low_stress
today i suddenly facing a road accident.,2.0547003746032715,moderate_stress,moderate_stress
I'm getting more and more frustrated with the things in my life that are causing me stress.,2.047840118408203,high_stress,moderate_stress
I've been very bad lately about leaving work early.,2.0395655632019043,high_stress,moderate_stress
"I was supposed to go home this weekend, but due to my study group meeting this weekend and a lot of studying to do, I have to be in Austin.",2.0514371395111084,moderate_stress,moderate_stress
"Thinking some, and realized that Im gonna have a hard time working with my whole situation going on.",2.0388097763061523,moderate_stress,moderate_stress
I am stressing about my recovery from my surgery,2.0398128032684326,moderate_stress,moderate_stress
Work is stressing me out.,2.0550568103790283,moderate_stress,moderate_stress
My schedule is all hard classes and I'm not sure how it's going to play out.,2.052361488342285,low_stress,moderate_stress
The plates of food aren't nearly enough to make up for the fact that I have to deal with the family for a day.,2.0431785583496094,moderate_stress,low_stress
I've been planning on cleaning but then stupid stuff like getting my car fixed happens and I'm never there.,2.0523576736450195,moderate_stress,low_stress
my girlfriend is concerned i am not earning enough to support our future family.,2.0524590015411377,moderate_stress,moderate_stress
"Basically, I need more money.",2.053109884262085,moderate_stress,moderate_stress
I've been trying to figure out what to cook for dinner every night,2.0477945804595947,moderate_stress,low_stress
