sentence,response_time,predicted_stress,true_stress
it's always frustrating when people who make more money than you talk about how poor they are.,2.2511093616485596,low_stress,moderate_stress
"yeah,she's dating me,but I don't know if it's a decision she regrets sometimes because of the downfalls that come along with it.",2.0596256256103516,moderate_stress,moderate_stress
Then she complaints of having pain on her shoulder and all.,2.0589399337768555,moderate_stress,low_stress
I don't feel like I'm making any progress.,2.051795244216919,low_stress,moderate_stress
money problem is big problem,2.064136028289795,moderate_stress,high_stress
Then my mum started complaining about feeling sick.,2.0692927837371826,high_stress,moderate_stress
"have been trying to clean and organize my closet, what a mess!",2.065263032913208,low_stress,moderate_stress
i've been dealing with my husband who is an alcoholic.,2.0651135444641113,moderate_stress,high_stress
i am trying to write my thesis,2.0677051544189453,moderate_stress,moderate_stress
Something about the repetitive nature of my job leaves me severely lacking in brain capacity by the end of the day.,2.0660643577575684,high_stress,moderate_stress
"i'm frustrated, and everyday it seems like there's more stuff added to the long list of things that make my job more difficult.",2.0682907104492188,moderate_stress,high_stress
This crackwhores husband is STILL bitching about the cigarette roller.,2.071970224380493,moderate_stress,low_stress
hi. recently i have been stressing about a situation involving my child.,2.068025588989258,moderate_stress,moderate_stress
"omg this shit sucks, my brain is ready to explode.",2.0741219520568848,moderate_stress,high_stress
for some reason i did and now im just lonely and depressed and missing him more than i ever thought i would.,2.0681447982788086,moderate_stress,moderate_stress
So I was supposed to use this weekend to study for the exam I have to retake.,2.0531575679779053,low_stress,low_stress
they're so tiring. its so hard getting back into the whole school routine.,2.0719807147979736,high_stress,low_stress
"And now, if you'll excuse me, I need to go make an appointment to get my back checked out, because it's still in pain.",2.070652484893799,high_stress,moderate_stress
"I mean, it sucked while I was stressed, thinking I'd never get it done on time.",2.057903528213501,high_stress,low_stress
i need to get good grades,2.059211492538452,low_stress,moderate_stress
waiting on hip replacement surgery for a year has really stressed me out,2.0613808631896973,high_stress,high_stress
Kira was sick and dying today so she couldnt make it.,2.069579601287842,high_stress,high_stress
I'm in pain almost every day of the week!,2.0720646381378174,high_stress,high_stress
I have a presentation this week that I'm afraid to look over for fear of realizing how under-prepared I am.,2.0694847106933594,moderate_stress,moderate_stress
it still bothers me...... I've just had a frustrating day.,2.064837694168091,moderate_stress,moderate_stress
"oh man, my mom and my brother are screaming at eachother and its driving me insane.",2.0523970127105713,high_stress,moderate_stress
Everything is stressed in my life right now.,2.0647668838500977,high_stress,high_stress
"It's been nearly four months since Castiel let Dean use his body, still shaking from his encounter with famine and Sam's screams as he detoxed.",2.069631338119507,low_stress,high_stress
She has some kind of health issue and I don't know what it is.,2.069779634475708,high_stress,moderate_stress
i dont know how long to boil potatoes for,2.0738866329193115,low_stress,low_stress
another thing that i'm really worried abuot that i shouldn't even be thinking right now is about how my family in general is going to do.,2.0699822902679443,high_stress,high_stress
I think its just so much stress and like AHHH that im going crazy.,2.0740888118743896,low_stress,moderate_stress
"Stressed out, and can't sleep.",2.066950798034668,low_stress,moderate_stress
the recent things that have been stressing me out is my health and the health of my fami,2.073660373687744,high_stress,high_stress
I may have broken my foot.,2.063861131668091,low_stress,high_stress
there are a lot of projects at work weighing on me,2.06613826751709,low_stress,high_stress
my son is failing science class,2.068504571914673,high_stress,low_stress
a recent situation that has been stressful to me is with my work.,2.071988582611084,moderate_stress,moderate_stress
